cid,Source,pid,utid,uid,Type,ApplicationDate,StartDate,EndDate,LeaseTerm,SignedDate,MoveInDate,MoveOutDate,lid
0,Source1,1111,111,1110,Application,2010-06-01,2010-06-01,2012-06-01,24,2010-06-01,2010-06-01,2012-06-01,0
0,Source1,1111,111,1110,Renewal,2012-06-01,2012-06-01,2013-06-01,12,2012-06-01,2012-06-01,2013-06-01,1
1,Source1,1111,111,1110,Application,2013-06-01,2013-06-01,2014-12-01,18,2013-06-01,2013-06-01,2014-12-01,2
1,Source1,1111,111,1110,Renewal,2014-12-01,2014-12-01,2016-12-01,24,2014-12-01,2014-12-01,2016-12-01,3
1,Source1,1111,111,1110,Renewal,2016-12-01,2016-12-01,2018-12-01,24,2016-12-01,2016-12-01,2018-12-01,4
2,Source1,1111,111,1110,Application,2018-12-01,2018-12-01,2020-12-01,24,2018-12-01,2018-12-01,2020-12-01,5
2,Source1,1111,111,1110,Renewal,2020-12-01,2020-12-01,2021-12-01,12,2020-12-01,2020-12-01,,6
2,Source1,1111,111,1110,Renewal,2021-12-01,2021-12-01,2022-06-01,6,2021-12-01,,,7
3,Source1,1111,111,1111,Application,2010-06-01,2010-06-01,2012-06-01,24,2010-06-01,2010-06-01,2012-06-01,8
3,Source1,1111,111,1111,Renewal,2012-06-01,2012-06-01,2014-06-01,24,2012-06-01,2012-06-01,2014-06-01,9
3,Source1,1111,111,1111,Renewal,2014-06-01,2014-06-01,2015-06-01,12,2014-06-01,2014-06-01,2015-06-01,10
3,Source1,1111,111,1111,Renewal,2015-06-01,2015-06-01,2017-06-01,24,2015-06-01,2015-06-01,2017-06-01,11
3,Source1,1111,111,1111,Renewal,2017-06-01,2017-06-01,2019-06-01,24,2017-06-01,2017-06-01,2019-06-01,12
4,Source1,1111,111,1111,Application,2019-06-01,2019-06-01,2020-06-01,12,2019-06-01,2019-06-01,2020-06-01,13
5,Source1,1111,111,1111,Application,2020-06-01,2020-06-01,2021-12-01,18,2020-06-01,2020-06-01,,14
5,Source1,1111,111,1111,Renewal,2021-12-01,2021-12-01,2022-06-01,6,2021-12-01,,,15
6,Source1,1111,111,1112,Application,2010-06-01,2010-06-01,2011-12-01,18,2010-06-01,2010-06-01,2011-12-01,16
6,Source1,1111,111,1112,Renewal,2011-12-01,2011-12-01,2013-12-01,24,2011-12-01,2011-12-01,2013-12-01,17
6,Source1,1111,111,1112,Renewal,2013-12-01,2013-12-01,2015-12-01,24,2013-12-01,2013-12-01,2015-12-01,18
6,Source1,1111,111,1112,Renewal,2015-12-01,2015-12-01,2017-12-01,24,2015-12-01,2015-12-01,2017-12-01,19
