cid,Source,pid,uid,workorder_type,ServiceRequestDate,ServiceCompleteDate,wid
2,Source1,1111,1110,Pest Control,2022-04-05,2022-04-08,0
5,Source1,1111,1111,Other,2022-04-12,2022-04-26,1
5,Source1,1111,1111,Stove or Oven,2022-01-09,2022-01-14,2
6,Source1,1111,1112,Dishwasher,2021-12-01,2021-12-13,3
6,Source1,1111,1112,Towel Bar,2022-04-06,2022-04-16,4
15,Source1,1111,1115,Trash Removal,2022-02-26,2022-03-12,5
15,Source1,1111,1115,Heating,2022-05-10,2022-05-18,6
15,Source1,1111,1115,Ceiling Fan,2022-05-02,2022-05-15,7
15,Source1,1111,1115,Stove or Oven,2022-04-26,2022-05-01,8
42,Source1,1111,11113,Lock or Interior Door,2022-04-28,2022-05-03,9
54,Source1,1111,11116,Toilet,2021-12-30,2022-01-04,10
54,Source1,1111,11116,Door Repair or Replace,2022-01-28,2022-01-29,11
54,Source1,1111,11116,Doorbell,2022-02-22,2022-03-04,12
54,Source1,1111,11116,Towel Bar,2022-01-03,2022-01-07,13
63,Source1,1111,11119,Air Ducts or Vents,2022-05-29,2022-06-06,14
63,Source1,1111,11119,Doorbell,2022-02-08,2022-02-09,15
63,Source1,1111,11119,Washer,2022-04-07,2022-04-13,16
63,Source1,1111,11119,Ceiling Fan,2021-12-22,2022-01-04,17
76,Source1,1111,11122,Dishwasher,2022-02-17,2022-02-22,18
76,Source1,1111,11122,Dishwasher,2022-04-09,2022-04-23,19
76,Source1,1111,11122,Ceiling Fan,2022-03-19,2022-03-23,20
97,Source1,1111,11129,Air Ducts or Vents,2022-04-30,2022-05-10,21
100,Source1,1111,11130,Filter Replacement,2022-03-15,2022-03-28,22
100,Source1,1111,11130,Light Bulbs,2022-01-18,2022-01-26,23
100,Source1,1111,11130,Ceiling Fan,2022-05-11,2022-05-16,24
100,Source1,1111,11130,Drain,2022-02-09,2022-02-21,25
120,Source1,1111,11136,Towel Bar,2022-03-13,2022-03-16,26
120,Source1,1111,11136,Garbage Disposal,2022-02-04,2022-02-07,27
120,Source1,1111,11136,Faucet,2022-03-27,2022-04-05,28
120,Source1,1111,11136,Filter Replacement,2021-12-05,2021-12-14,29
125,Source1,1111,11138,Clean Unit,2022-03-16,2022-03-26,30
150,Source1,1111,11146,Pest Control,2021-12-22,2021-12-23,31
150,Source1,1111,11146,Ceiling Fan,2022-05-06,2022-05-08,32
150,Source1,1111,11146,Ceiling,2022-01-02,2022-01-07,33
188,Source1,2222,1119,Windows,2022-05-09,2022-05-17,34
188,Source1,2222,1119,Refrigerator,2022-01-28,2022-02-08,35
192,Source1,2222,11110,Ceiling,2022-05-03,2022-05-15,36
192,Source1,2222,11110,Cabinets,2022-05-31,2022-06-06,37
192,Source1,2222,11110,Light Bulbs,2022-03-30,2022-04-08,38
192,Source1,2222,11110,Air Conditioning,2021-12-23,2021-12-24,39
227,Source1,2222,11121,Towel Bar,2021-12-12,2021-12-13,40
238,Source1,2222,11124,Switches,2022-04-08,2022-04-15,41
246,Source1,2222,11126,Stove or Oven,2022-05-03,2022-05-15,42
246,Source1,2222,11126,Stove or Oven,2022-02-01,2022-02-09,43
246,Source1,2222,11126,Heating,2021-12-11,2021-12-18,44
246,Source1,2222,11126,Garbage Disposal,2022-01-31,2022-02-08,45
276,Source1,2222,11134,Smoke Detector,2022-05-15,2022-05-24,46
276,Source1,2222,11134,Tub or Shower,2021-12-23,2021-12-31,47
276,Source1,2222,11134,Shower Head,2022-04-15,2022-04-17,48
276,Source1,2222,11134,Tub or Shower,2022-01-30,2022-02-06,49
286,Source1,2222,11138,Refrigerator,2022-03-23,2022-03-24,50
286,Source1,2222,11138,Clean Unit,2022-02-27,2022-02-28,51
334,Source1,2222,11152,Dishwasher,2021-12-03,2021-12-07,52
334,Source1,2222,11152,Lock or Interior Door,2022-02-19,2022-02-21,53
340,Source1,2222,11153,Dishwasher,2021-12-06,2021-12-17,54
340,Source1,2222,11153,Lock or Exterior Door,2022-01-20,2022-01-25,55
340,Source1,2222,11153,Filter Replacement,2021-12-20,2021-12-29,56
340,Source1,2222,11153,Paint,2022-01-24,2022-02-05,57
367,Source1,2222,11159,Tub or Shower,2022-01-04,2022-01-11,58
367,Source1,2222,11159,Clean Unit,2022-04-26,2022-05-01,59
367,Source1,2222,11159,Carpet,2022-02-12,2022-02-23,60
367,Source1,2222,11159,Heating,2022-04-23,2022-04-29,61
403,Source1,2222,11172,Garage Remote,2022-05-01,2022-05-08,62
403,Source1,2222,11172,Sink,2022-05-01,2022-05-08,63
406,Source1,2222,11173,Light Bulbs,2022-02-26,2022-03-07,64
406,Source1,2222,11173,Tub or Shower,2022-01-30,2022-02-12,65
406,Source1,2222,11173,Shelves or Drawers,2022-05-31,2022-06-12,66
406,Source1,2222,11173,Washer,2022-04-27,2022-05-10,67
429,Source1,2222,11180,Filter Replacement,2021-12-24,2022-01-01,68
429,Source1,2222,11180,Towel Bar,2022-05-10,2022-05-12,69
429,Source1,2222,11180,Carpet,2022-02-07,2022-02-17,70
429,Source1,2222,11180,Doorbell,2022-02-15,2022-02-27,71
433,Source1,2222,11183,Switches,2022-04-28,2022-05-10,72
433,Source1,2222,11183,Light Fixture,2022-03-02,2022-03-11,73
441,Source1,2222,11185,Door Repair or Replace,2021-12-02,2021-12-08,74
441,Source1,2222,11185,Sink Stopper,2022-04-16,2022-04-22,75
441,Source1,2222,11185,Ceiling,2022-01-22,2022-01-26,76
459,Source1,2222,11191,Sink,2022-02-19,2022-03-05,77
461,Source1,2222,11192,Paint,2022-04-30,2022-05-08,78
483,Source1,2222,11198,Pest Control,2022-01-24,2022-01-28,79
483,Source1,2222,11198,Switches,2022-05-30,2022-06-09,80
483,Source1,2222,11198,Cabinets,2022-03-13,2022-03-22,81
494,Source1,3333,1112,Dryer,2021-12-25,2022-01-01,82
494,Source1,3333,1112,Ceiling Fan,2022-03-03,2022-03-07,83
531,Source1,3333,11112,Stove or Oven,2022-03-11,2022-03-22,84
531,Source1,3333,11112,Door Repair or Replace,2021-12-16,2021-12-18,85
531,Source1,3333,11112,Ceiling Fan,2022-04-15,2022-04-27,86
538,Source1,3333,11114,Washer,2022-05-19,2022-05-23,87
538,Source1,3333,11114,Other,2022-05-15,2022-05-17,88
538,Source1,3333,11114,Dryer,2021-12-23,2021-12-27,89
538,Source1,3333,11114,Thermostat,2022-04-14,2022-04-17,90
545,Source1,3333,11117,Smoke Detector,2022-03-15,2022-03-22,91
545,Source1,3333,11117,Door Repair or Replace,2022-02-14,2022-02-19,92
545,Source1,3333,11117,Switches,2022-01-14,2022-01-25,93
545,Source1,3333,11117,Light Bulbs,2022-02-22,2022-03-03,94
627,Source1,3333,11144,Shelves or Drawers,2022-02-09,2022-02-18,95
627,Source1,3333,11144,Faucet,2021-12-05,2021-12-06,96
661,Source1,3333,11154,Stove or Oven,2021-12-27,2021-12-28,97
661,Source1,3333,11154,Smoke Detector,2022-01-30,2022-02-10,98
661,Source1,3333,11154,Toilet,2022-03-25,2022-04-07,99
661,Source1,3333,11154,Smoke Detector,2021-12-12,2021-12-23,100
679,Source1,3333,11158,Other,2022-02-21,2022-02-28,101
685,Source1,3333,11160,Clean Unit,2022-01-12,2022-01-18,102
692,Source1,3333,11162,Walls,2022-02-18,2022-02-23,103
692,Source1,3333,11162,Cleaning,2022-01-13,2022-01-14,104
692,Source1,3333,11162,Shelves or Drawers,2021-12-18,2021-12-20,105
692,Source1,3333,11162,Smoke Detector,2022-04-17,2022-04-25,106
697,Source1,3333,11163,Cabinet Doors,2022-04-12,2022-04-25,107
697,Source1,3333,11163,Stove or Oven,2022-05-12,2022-05-19,108
697,Source1,3333,11163,Drain,2022-03-19,2022-03-26,109
697,Source1,3333,11163,Air Ducts or Vents,2022-02-09,2022-02-22,110
702,Source1,3333,11165,Dishwasher,2022-03-03,2022-03-17,111
702,Source1,3333,11165,Clean Unit,2022-02-19,2022-03-04,112
702,Source1,3333,11165,Doorbell,2022-05-03,2022-05-08,113
709,Source1,3333,11168,Cleaning,2022-05-08,2022-05-12,114
731,Source1,4444,1110,Sink,2022-01-27,2022-01-31,115
731,Source1,4444,1110,Outlets,2022-05-29,2022-06-02,116
731,Source1,4444,1110,Stove or Oven,2022-03-16,2022-03-30,117
731,Source1,4444,1110,Refrigerator,2022-04-16,2022-04-29,118
739,Source1,4444,1113,Walls,2022-01-03,2022-01-16,119
739,Source1,4444,1113,Light Fixture,2022-05-20,2022-05-29,120
739,Source1,4444,1113,Thermostat,2022-02-16,2022-02-22,121
739,Source1,4444,1113,Smoke Detector,2022-05-09,2022-05-18,122
753,Source1,4444,1116,Ceiling,2022-02-11,2022-02-17,123
753,Source1,4444,1116,Refrigerator,2022-02-19,2022-02-25,124
753,Source1,4444,1116,Towel Bar,2022-02-17,2022-02-27,125
769,Source1,4444,11110,Doorbell,2022-04-24,2022-04-27,126
769,Source1,4444,11110,Outlets,2022-02-10,2022-02-11,127
782,Source1,4444,11115,Ceiling Fan,2022-01-30,2022-02-04,128
